id,previous_reading,current_reading,excess_consumption,total_consumed,finished_at,period_id,water_meter_id,code,created_at,created_by_id,operator_id,status,updated_at,updated_by_id
12483,2535,2543,0,8,2025-04-01 21:05:47.206992 +00:00,48,686,LE-09711,2025-04-01 12:51:24.286198 +00:00,,3,F,2025-04-01 21:05:47.214609 +00:00,
12482,3934,3956,12,22,2025-04-01 21:08:13.057292 +00:00,48,685,LE-09710,2025-04-01 12:51:24.286177 +00:00,,3,F,2025-04-01 21:08:13.063662 +00:00,
12374,3045,3050,0,5,2025-04-01 21:24:14.138620 +00:00,48,577,LE-09602,2025-04-01 12:51:24.284486 +00:00,,3,F,2025-04-01 21:24:14.145195 +00:00,
12286,1377,1383,0,6,2025-04-01 21:33:40.874754 +00:00,48,488,LE-09514,2025-04-01 12:51:24.283086 +00:00,,3,F,2025-04-01 21:33:40.887925 +00:00,
12214,6,7,0,1,2025-04-01 21:34:25.600982 +00:00,48,426,LE-09442,2025-04-01 12:51:24.281930 +00:00,,3,F,2025-04-01 21:34:25.612353 +00:00,
12472,2932,2948,6,16,2025-04-01 21:45:01.719774 +00:00,48,675,LE-09700,2025-04-01 12:51:24.286022 +00:00,,3,F,2025-04-01 21:45:01.729246 +00:00,
12161,1143,1153,0,10,2025-04-01 21:46:01.090067 +00:00,48,373,LE-09389,2025-04-01 12:51:24.281078 +00:00,,3,F,2025-04-01 21:46:01.096760 +00:00,
12476,2397,2397,0,0,2025-04-01 22:21:54.671431 +00:00,48,679,LE-09704,2025-04-01 12:51:24.286085 +00:00,,3,F,2025-04-01 22:21:54.678367 +00:00,
12399,4699,4708,0,9,2025-04-01 22:30:25.773464 +00:00,48,1052,LE-09627,2025-04-01 12:51:24.284870 +00:00,,3,F,2025-04-01 22:30:25.784365 +00:00,
12382,1830,1831,0,1,2025-04-01 22:41:52.187286 +00:00,48,585,LE-09610,2025-04-01 12:51:24.284610 +00:00,,3,F,2025-04-01 22:41:52.197238 +00:00,
12487,501,501,0,0,2025-04-01 22:47:02.134663 +00:00,48,691,LE-09715,2025-04-01 12:51:24.286278 +00:00,,3,F,2025-04-01 22:47:02.143066 +00:00,
12457,1639,1640,0,1,2025-04-01 22:47:29.512584 +00:00,48,660,LE-09685,2025-04-01 12:51:24.285782 +00:00,,3,F,2025-04-01 22:47:29.521517 +00:00,
12253,558,573,5,15,2025-04-02 20:42:43.462680 +00:00,48,455,LE-09481,2025-04-01 12:51:24.282553 +00:00,,3,F,2025-04-02 20:42:43.471159 +00:00,
12320,2700,2708,0,8,2025-04-02 20:56:40.658053 +00:00,48,522,LE-09548,2025-04-01 12:51:24.283626 +00:00,,3,F,2025-04-02 20:56:40.665435 +00:00,
12206,44,44,0,0,2025-04-02 21:07:42.264522 +00:00,48,419,LE-09434,2025-04-01 12:51:24.281792 +00:00,,3,F,2025-04-02 21:07:42.272346 +00:00,
12417,309,311,0,2,2025-04-02 21:26:17.072192 +00:00,48,620,LE-09645,2025-04-01 12:51:24.285160 +00:00,,3,F,2025-04-02 21:26:17.084353 +00:00,
12140,874,883,0,9,2025-04-02 21:29:54.614668 +00:00,48,352,LE-09368,2025-04-01 12:51:24.280726 +00:00,,3,F,2025-04-02 21:29:54.624504 +00:00,
12473,1275,1279,0,4,2025-04-02 22:04:24.790168 +00:00,48,676,LE-09701,2025-04-01 12:51:24.286038 +00:00,,3,F,2025-04-02 22:04:24.803002 +00:00,
12465,2110,2112,0,2,2025-04-03 00:55:48.603722 +00:00,48,668,LE-09693,2025-04-01 12:51:24.285915 +00:00,,3,F,2025-04-03 00:55:48.613151 +00:00,
12481,2406,2414,0,8,2025-04-03 00:59:21.042504 +00:00,48,684,LE-09709,2025-04-01 12:51:24.286161 +00:00,,3,F,2025-04-03 00:59:21.057717 +00:00,
12258,878,878,0,0,2025-04-03 00:59:53.802845 +00:00,48,460,LE-09486,2025-04-01 12:51:24.282628 +00:00,,3,F,2025-04-03 00:59:53.813589 +00:00,
12160,1155,1168,3,13,2025-04-03 01:01:34.084506 +00:00,48,372,LE-09388,2025-04-01 12:51:24.281062 +00:00,,3,F,2025-04-03 01:01:34.092133 +00:00,
12470,6028,6037,0,9,2025-04-03 01:02:08.279186 +00:00,48,673,LE-09698,2025-04-01 12:51:24.285992 +00:00,,3,F,2025-04-03 01:02:08.285467 +00:00,
12479,4735,4754,9,19,2025-04-03 01:04:01.822342 +00:00,48,682,LE-09707,2025-04-01 12:51:24.286130 +00:00,,3,F,2025-04-03 01:04:01.835739 +00:00,
12488,1034,1043,0,9,2025-04-03 13:22:41.793915 +00:00,48,692,LE-09716,2025-04-01 12:51:24.286293 +00:00,,3,F,2025-04-03 13:22:41.805577 +00:00,
12302,3580,3585,0,5,2025-04-03 20:07:38.307729 +00:00,48,504,LE-09530,2025-04-01 12:51:24.283339 +00:00,,3,F,2025-04-03 20:07:38.313439 +00:00,
12477,1696,1710,4,14,2025-04-03 20:16:06.284564 +00:00,48,680,LE-09705,2025-04-01 12:51:24.286100 +00:00,,3,F,2025-04-03 20:16:06.294923 +00:00,
12381,3468,3487,9,19,2025-04-03 20:43:57.343593 +00:00,48,584,LE-09609,2025-04-01 12:51:24.284594 +00:00,,3,F,2025-04-03 20:43:57.355043 +00:00,
12484,370,370,0,0,2025-04-03 20:48:01.867024 +00:00,48,687,LE-09712,2025-04-01 12:51:24.286230 +00:00,,3,F,2025-04-03 20:48:01.877759 +00:00,
12316,3511,3515,0,4,2025-04-03 21:09:34.980066 +00:00,48,518,LE-09544,2025-04-01 12:51:24.283565 +00:00,,3,F,2025-04-03 21:09:35.000178 +00:00,
12480,1395,1405,0,10,2025-04-03 21:10:22.929816 +00:00,48,683,LE-09708,2025-04-01 12:51:24.286146 +00:00,,3,F,2025-04-03 21:10:22.940883 +00:00,
12474,936,941,0,5,2025-04-03 21:25:22.071955 +00:00,48,677,LE-09702,2025-04-01 12:51:24.286054 +00:00,,3,F,2025-04-03 21:25:22.083083 +00:00,
12252,1980,1980,0,0,2025-04-09 16:28:47.992198 +00:00,48,454,LE-09480,2025-04-01 12:51:24.282538 +00:00,,3,F,2025-04-09 16:28:48.003051 +00:00,
12190,1,34,23,33,2025-04-11 00:57:55.947376 +00:00,48,1053,LE-09418,2025-04-01 12:51:24.281544 +00:00,,3,F,2025-04-11 00:57:55.958057 +00:00,
12491,634,641,0,7,2025-05-02 21:26:47.540467 +00:00,49,349,LE-09719,2025-05-01 12:08:58.251105 +00:00,,3,F,2025-05-02 21:26:47.557975 +00:00,
12492,1754,1774,10,20,2025-05-05 18:51:43.244821 +00:00,49,350,LE-09720,2025-05-01 12:08:58.251123 +00:00,,3,F,2025-05-05 18:51:43.251762 +00:00,
12490,276,276,0,0,2025-05-06 00:27:13.885928 +00:00,49,348,LE-09718,2025-05-01 12:08:58.251088 +00:00,,3,F,2025-05-06 00:27:13.905450 +00:00,
12489,3423,3435,2,12,2025-05-09 20:33:27.731848 +00:00,49,347,LE-09717,2025-05-01 12:08:58.251020 +00:00,,3,F,2025-05-09 20:33:27.742212 +00:00,
12549,172,172,0,0,2025-05-01 17:00:15.752117 +00:00,49,409,LE-09777,2025-05-01 12:08:58.252460 +00:00,,3,F,2025-05-01 17:00:15.767796 +00:00,
12552,694,708,4,14,2025-05-01 17:01:52.648572 +00:00,49,412,LE-09780,2025-05-01 12:08:58.252505 +00:00,,3,F,2025-05-01 17:01:52.658514 +00:00,
12522,926,926,0,0,2025-05-01 17:07:36.412589 +00:00,49,381,LE-09750,2025-05-01 12:08:58.251912 +00:00,,3,F,2025-05-01 17:07:36.424460 +00:00,
12527,2492,2522,20,30,2025-05-01 17:08:42.101962 +00:00,49,386,LE-09755,2025-05-01 12:08:58.252000 +00:00,,3,F,2025-05-01 17:08:42.111067 +00:00,
12528,1921,1943,12,22,2025-05-01 17:13:19.029995 +00:00,49,387,LE-09756,2025-05-01 12:08:58.252024 +00:00,,3,F,2025-05-01 17:13:19.040221 +00:00,
12512,585,585,0,0,2025-05-01 17:16:30.882530 +00:00,49,370,LE-09740,2025-05-01 12:08:58.251688 +00:00,,3,F,2025-05-01 17:16:30.895068 +00:00,
12544,478,521,33,43,2025-05-01 17:20:21.162761 +00:00,49,405,LE-09772,2025-05-01 12:08:58.252374 +00:00,,3,F,2025-05-01 17:20:21.173710 +00:00,
12503,3344,3349,0,5,2025-05-01 17:25:54.750658 +00:00,49,361,LE-09731,2025-05-01 12:08:58.251536 +00:00,,3,F,2025-05-01 17:25:54.762998 +00:00,
12534,458,462,0,4,2025-05-01 17:31:48.854144 +00:00,49,393,LE-09762,2025-05-01 12:08:58.252161 +00:00,,3,F,2025-05-01 17:31:48.862610 +00:00,
12514,1168,1210,32,42,2025-05-01 17:51:57.527131 +00:00,49,372,LE-09742,2025-05-01 12:08:58.251736 +00:00,,3,F,2025-05-01 17:51:57.543416 +00:00,
12517,343,347,0,4,2025-05-01 18:14:28.093857 +00:00,49,376,LE-09745,2025-05-01 12:08:58.251808 +00:00,,3,F,2025-05-01 18:14:28.103636 +00:00,
12530,2719,2740,11,21,2025-05-01 18:21:20.914997 +00:00,49,389,LE-09758,2025-05-01 12:08:58.252057 +00:00,,3,F,2025-05-01 18:21:20.927055 +00:00,
12556,756,777,11,21,2025-05-01 18:22:39.916927 +00:00,49,416,LE-09784,2025-05-01 12:08:58.252567 +00:00,,3,F,2025-05-01 18:22:39.940209 +00:00,
12506,3369,3383,4,14,2025-05-01 19:55:35.713286 +00:00,49,364,LE-09734,2025-05-01 12:08:58.251594 +00:00,,3,F,2025-05-01 19:55:35.753202 +00:00,
12509,735,735,0,0,2025-05-01 19:59:46.392484 +00:00,49,367,LE-09737,2025-05-01 12:08:58.251642 +00:00,,3,F,2025-05-01 19:59:46.407142 +00:00,
12507,1522,1535,3,13,2025-05-01 20:08:19.199420 +00:00,49,365,LE-09735,2025-05-01 12:08:58.251610 +00:00,,3,F,2025-05-01 20:08:19.208961 +00:00,
12554,1082,1095,3,13,2025-05-01 20:11:53.807424 +00:00,49,414,LE-09782,2025-05-01 12:08:58.252535 +00:00,,3,F,2025-05-01 20:11:53.816936 +00:00,
12538,2513,2542,19,29,2025-05-01 20:34:21.443979 +00:00,49,397,LE-09766,2025-05-01 12:08:58.252267 +00:00,,3,F,2025-05-01 20:34:21.456058 +00:00,
12557,73,73,0,0,2025-05-01 20:37:09.091783 +00:00,49,417,LE-09785,2025-05-01 12:08:58.252582 +00:00,,3,F,2025-05-01 20:37:09.113469 +00:00,
12521,1400,1439,29,39,2025-05-01 20:56:13.742360 +00:00,49,380,LE-09749,2025-05-01 12:08:58.251895 +00:00,,3,F,2025-05-01 20:56:13.753852 +00:00,
12496,1448,1457,0,9,2025-05-01 21:10:25.174660 +00:00,49,354,LE-09724,2025-05-01 12:08:58.251325 +00:00,,3,F,2025-05-01 21:10:25.188504 +00:00,
12515,1153,1166,3,13,2025-05-01 21:56:44.088311 +00:00,49,373,LE-09743,2025-05-01 12:08:58.251752 +00:00,,3,F,2025-05-01 21:56:44.099931 +00:00,
12511,618,627,0,9,2025-05-01 22:01:22.847685 +00:00,49,369,LE-09739,2025-05-01 12:08:58.251673 +00:00,,3,F,2025-05-01 22:01:22.861791 +00:00,
12520,220,220,0,0,2025-05-01 22:01:41.540693 +00:00,49,379,LE-09748,2025-05-01 12:08:58.251856 +00:00,,3,F,2025-05-01 22:01:41.572152 +00:00,
12536,1,1,0,0,2025-05-01 22:01:51.948837 +00:00,49,395,LE-09764,2025-05-01 12:08:58.252200 +00:00,,3,F,2025-05-01 22:01:51.964987 +00:00,
12553,109,109,0,0,2025-05-01 22:02:33.453564 +00:00,49,413,LE-09781,2025-05-01 12:08:58.252520 +00:00,,3,F,2025-05-01 22:02:33.464628 +00:00,
12539,1038,1062,14,24,2025-05-01 22:04:39.364017 +00:00,49,399,LE-09767,2025-05-01 12:08:58.252283 +00:00,,3,F,2025-05-01 22:04:39.375707 +00:00,
12537,1,1,0,0,2025-05-01 22:05:26.080848 +00:00,49,396,LE-09765,2025-05-01 12:08:58.252250 +00:00,,3,F,2025-05-01 22:05:26.102893 +00:00,
12499,1740,1741,0,1,2025-05-01 22:07:40.656617 +00:00,49,357,LE-09727,2025-05-01 12:08:58.251448 +00:00,,3,F,2025-05-01 22:07:40.669194 +00:00,
12542,387,395,0,8,2025-05-01 22:10:55.744816 +00:00,49,402,LE-09770,2025-05-01 12:08:58.252342 +00:00,,3,F,2025-05-01 22:10:55.751625 +00:00,
12525,962,969,0,7,2025-05-02 21:06:38.620875 +00:00,49,384,LE-09753,2025-05-01 12:08:58.251962 +00:00,,3,F,2025-05-02 21:06:38.627053 +00:00,
12519,634,643,0,9,2025-05-02 22:12:22.266046 +00:00,49,378,LE-09747,2025-05-01 12:08:58.251840 +00:00,,3,F,2025-05-02 22:12:22.274203 +00:00,
12551,110,112,0,2,2025-05-02 23:05:57.111528 +00:00,49,411,LE-09779,2025-05-01 12:08:58.252490 +00:00,,3,F,2025-05-02 23:05:57.131835 +00:00,
12500,1817,1851,24,34,2025-05-05 14:37:46.382743 +00:00,49,358,LE-09728,2025-05-01 12:08:58.251464 +00:00,,3,F,2025-05-05 14:37:46.401694 +00:00,
12524,1459,1464,0,5,2025-05-05 14:40:09.225868 +00:00,49,383,LE-09752,2025-05-01 12:08:58.251945 +00:00,,3,F,2025-05-05 14:40:09.244166 +00:00,
12541,193,195,0,2,2025-05-05 15:15:52.090925 +00:00,49,401,LE-09769,2025-05-01 12:08:58.252315 +00:00,,3,F,2025-05-05 15:15:52.112839 +00:00,
12555,113,114,0,1,2025-05-05 17:36:41.005442 +00:00,49,415,LE-09783,2025-05-01 12:08:58.252551 +00:00,,3,F,2025-05-05 17:36:41.017752 +00:00,
